id_registro,fecha,hora_emision,canal,grupo_canal,programa,tipo_programa,marca,producto,anunciante,categoria,duracion_emitida_seg,duracion_contratada_seg,version_comercial,tipo_bloque,posicion_bloque,franja_horaria,auditor,metodo_deteccion,estado_incidencia,codigo_incidencia,nivel_prioridad,observaciones
LOG-001,2026-07-20,20:15:30,Latina,TVA,Arriba Mi Gente,Magazine,BCP,Cuenta Sueldo,Banco de Crédito del Perú,Servicios Financieros,30,30,30s,Comercial,2 de 8,Prime Time,AUD-014,Automática + Manual,Emitido OK,N/A,Baja,"Emisión conforme a la pauta."
LOG-002,2026-07-20,20:42:10,América TV,TVA,Al Fondo Hay Sitio,Ficción,Inca Kola,Gaseosa Original,Arca Continental Lindley,Bebidas,15,30,30s,Comercial,5 de 9,Prime Time,AUD-009,Manual,Comercial Cortado,INC-CC,Alta,"El comercial fue interrumpido antes de finalizar."
LOG-003,2026-07-20,21:05:00,ATV,TVA,Magaly TV La Firme,Espectáculos,Mibanco,Crédito PyME,Credicorp,Servicios Financieros,30,30,30s,Comercial,1 de 7,Prime Time,AUD-011,Automática,Emitido OK,N/A,Baja,"Sin observaciones."
LOG-004,2026-07-20,15:20:45,Panamericana,TVA,24 Horas Mediodía,Noticias,Plaza Vea,Campaña Ahorro,Supermercados Peruanos S.A.,Retail,30,30,30s,Comercial,4 de 6,Regular,AUD-005,Automática + Manual,Fuera de Franja,INC-FF,Media,"La pauta debía emitirse en Prime Time."
LOG-005,2026-07-20,22:10:12,TV Perú,TVP,El Reportaje del Perú,Documental,Entel,Internet Hogar,Entel Perú,Telecomunicaciones,20,20,20s,Comercial,3 de 5,Trasnoche,AUD-002,Manual,Caída de Señal,INC-CS,Crítica,"Pérdida parcial de video durante aproximadamente 6 segundos."
LOG-006,2026-07-20,19:18:42,Latina,TVA,Latina Noticias,Noticias,Ripley,Campaña Invierno,Ripley S.A.,Retail,30,30,30s,Comercial,6 de 10,Prime Time,AUD-007,Automática,Emitido OK,N/A,Baja,"Emisión correcta."
LOG-007,2026-07-20,19:54:16,América TV,TVA,Esto es Guerra,Entretenimiento,Claro,Portabilidad,Claro Perú,Telecomunicaciones,30,30,30s,Comercial,3 de 8,Prime Time,AUD-012,Automática + Manual,Emitido OK,N/A,Baja,"Sin incidencias."
LOG-008,2026-07-20,21:32:51,ATV,TVA,ATV Noticias,Noticias,Scotiabank,Préstamo Personal,Scotiabank Perú,Servicios Financieros,15,15,15s,Comercial,7 de 9,Prime Time,AUD-003,Automática,Emitido OK,N/A,Baja,"Registro validado."
LOG-009,2026-07-20,18:45:27,Panamericana,TVA,Buenas Nuevas,Magazine,Tottus,Precios Bajos,Falabella Retail,Retail,30,30,30s,Comercial,2 de 5,Tarde,AUD-006,Manual,Emitido OK,N/A,Baja,"Emisión conforme."
LOG-010,2026-07-20,21:58:05,TV Perú,TVP,Sucedió en el Perú,Cultural,EsSalud,Campaña Preventiva,EsSalud,Institucional,20,20,20s,Institucional,1 de 3,Prime Time,AUD-015,Manual,Emitido OK,N/A,Baja,"Campaña institucional emitida correctamente."
LOG-011,2026-07-20,20:08:11,Latina,TVA,Arriba Mi Gente,Magazine,Coca-Cola,Sin Azúcar,Coca-Cola Perú,Bebidas,30,30,30s,Comercial,1 de 8,Prime Time,AUD-004,Automática,Error de Versión,INC-EV,Media,"Se emitió una versión distinta a la contratada."
LOG-012,2026-07-20,22:44:39,América TV,TVA,Cuarto Poder,Periodístico,Interbank,Cuenta Simple,Interbank,Servicios Financieros,30,30,30s,Comercial,4 de 7,Trasnoche, AUD-001,Automática + Manual,Emitido OK,N/A,Baja,"Registro verificado."
LOG-013,2026-07-20,06:18:24,Latina,TVA,Latina Noticias Mañana,Noticias,Alicorp,Aceite Primor,Alicorp S.A.A.,Consumo Masivo,20,20,20s,Comercial,1 de 6,Mañana,AUD-003,Automática,Emitido OK,N/A,Baja,Emisión conforme.
LOG-014,2026-07-20,06:45:51,América TV,TVA,América Noticias,Noticias,Gloria,Leche Evaporada,Gloria S.A.,Alimentos,30,30,30s,Comercial,4 de 8,Mañana,AUD-008,Automática + Manual,Emitido OK,N/A,Baja,Sin observaciones.
LOG-015,2026-07-20,07:12:37,ATV,TVA,ATV Noticias,Noticias,Inkafarma,Medicamentos,InRetail Pharma,Farmacias,15,15,15s,Comercial,2 de 5,Mañana,AUD-012,Automática,Emitido OK,N/A,Baja,Registro validado.
LOG-016,2026-07-20,08:01:13,Panamericana,TVA,Buenos Días Perú,Noticias,Metro,Ofertas Semanales,Cencosud,Retail,30,30,30s,Comercial,5 de 7,Mañana,AUD-005,Manual,Emitido OK,N/A,Baja,Emisión correcta.
LOG-017,2026-07-20,09:34:48,TV Perú,TVP,Aprendo en Casa,Educativo,Qali Warma,Programa Social,MIDIS,Institucional,20,20,20s,Institucional,1 de 3,Mañana,AUD-014,Manual,Emitido OK,N/A,Baja,Campaña institucional.
LOG-018,2026-07-20,10:22:16,Latina,TVA,Mujer Casos de la Vida Real,Ficción,Claro,Fibra Óptica,Claro Perú,Telecomunicaciones,30,30,30s,Comercial,6 de 9,Mañana,AUD-011,Automática + Manual,Emitido OK,N/A,Baja,Sin incidencias.
LOG-019,2026-07-20,11:17:05,América TV,TVA,América Hoy,Magazine,Entel,Postpago,Entel Perú,Telecomunicaciones,30,30,30s,Comercial,3 de 8,Mañana,AUD-009,Automática,Emitido OK,N/A,Baja,Registro correcto.
LOG-020,2026-07-20,12:08:43,ATV,TVA,ATV Edición Mediodía,Noticias,BCP,Yape,Banco de Crédito del Perú,Servicios Financieros,20,20,20s,Comercial,2 de 6,Tarde,AUD-002,Automática,Emitido OK,N/A,Baja,Sin observaciones.
LOG-021,2026-07-20,12:55:19,Panamericana,TVA,24 Horas Mediodía,Noticias,Makro,Mayorista,Makro Supermayorista,Retail,30,30,30s,Comercial,4 de 7,Tarde,AUD-001,Manual,Emitido OK,N/A,Baja,Emisión conforme.
LOG-022,2026-07-20,13:46:28,Latina,TVA,Latina Noticias,Noticias,Interbank,Cuenta Simple,Interbank,Servicios Financieros,30,30,30s,Comercial,1 de 5,Tarde,AUD-004,Automática,Emitido OK,N/A,Baja,Registro validado.
LOG-023,2026-07-20,14:18:57,TV Perú,TVP,Costumbres,Cultural,PromPerú,Turismo,PromPerú,Institucional,20,20,20s,Institucional,2 de 4,Tarde,AUD-010,Manual,Emitido OK,N/A,Baja,Campaña institucional.
LOG-024,2026-07-20,15:09:44,América TV,TVA,En Boca de Todos,Entretenimiento,Coca-Cola,Coca-Cola Original,Coca-Cola Perú,Bebidas,30,30,30s,Comercial,5 de 8,Tarde,AUD-013,Automática + Manual,Emitido OK,N/A,Baja,Sin incidencias.
LOG-025,2026-07-20,15:48:32,ATV,TVA,Andrea,Talk Show,Scotiabank,Tarjeta de Crédito,Scotiabank Perú,Servicios Financieros,15,30,30s,Comercial,3 de 6,Tarde,AUD-006,Manual,Comercial Cortado,INC-CC,Alta,Emisión interrumpida.
LOG-026,2026-07-20,16:35:17,Latina,TVA,El Gran Chef,Entretenimiento,Tambo+,Promoción,Tambo+,Retail,20,20,20s,Comercial,2 de 5,Tarde,AUD-007,Automática,Emitido OK,N/A,Baja,Registro correcto.
LOG-027,2026-07-20,17:04:29,Panamericana,TVA,Panorama Regional,Noticias,Plaza Vea,Días Rojos,Supermercados Peruanos,Retail,30,30,30s,Comercial,1 de 5,Tarde,AUD-005,Automática,Emitido OK,N/A,Baja,Sin observaciones.
LOG-028,2026-07-20,17:58:14,TV Perú,TVP,TV Perú Noticias,Noticias,SIS,Afiliación,SIS,Institucional,20,20,20s,Institucional,2 de 4,Tarde,AUD-014,Manual,Emitido OK,N/A,Baja,Campaña informativa.
LOG-029,2026-07-20,18:12:33,América TV,TVA,Esto es Guerra,Entretenimiento,Bitel,Internet Móvil,Bitel,Telecomunicaciones,30,30,30s,Comercial,6 de 9,Tarde,AUD-008,Automática,Emitido OK,N/A,Baja,Registro correcto.
LOG-030,2026-07-20,18:43:58,ATV,TVA,ATV Noticias Central,Noticias,Ripley,Campaña Invierno,Ripley S.A.,Retail,30,30,30s,Comercial,4 de 8,Tarde,AUD-003,Automática,Emitido OK,N/A,Baja,Sin observaciones.
LOG-031,2026-07-20,19:05:14,Latina,TVA,Arriba Mi Gente,Magazine,Nestlé,Nescafé,Nestlé Perú,Alimentos,20,20,20s,Comercial,2 de 8,Prime Time,AUD-011,Automática + Manual,Emitido OK,N/A,Baja,Emisión correcta.
LOG-032,2026-07-20,19:26:47,América TV,TVA,Esto es Guerra,Entretenimiento,Movistar,Fibra Hogar,Telefónica del Perú,Telecomunicaciones,30,30,30s,Comercial,5 de 10,Prime Time,AUD-001,Automática,Emitido OK,N/A,Baja,Registro validado.
LOG-033,2026-07-20,19:54:30,ATV,TVA,JB en ATV,Humor,Donofrio,Helados,Nestlé Perú,Alimentos,20,20,20s,Comercial,3 de 7,Prime Time,AUD-009,Automática,Emitido OK,N/A,Baja,Sin incidencias.
LOG-034,2026-07-20,20:24:19,Panamericana,TVA,Panorama,Periodístico,BBVA,Cuenta Digital,BBVA Perú,Servicios Financieros,30,30,30s,Comercial,2 de 6,Prime Time,AUD-004,Manual,Emitido OK,N/A,Baja,Emisión conforme.
LOG-035,2026-07-20,20:48:55,TV Perú,TVP,Sucedió en el Perú,Cultural,EsSalud,Vacunación,EsSalud,Institucional,20,20,20s,Institucional,1 de 3,Prime Time,AUD-002,Manual,Emitido OK,N/A,Baja,Campaña estatal.
LOG-036,2026-07-20,21:12:08,Latina,TVA,El Gran Chef,Entretenimiento,BCP,Crédito Hipotecario,Banco de Crédito del Perú,Servicios Financieros,30,30,30s,Comercial,4 de 9,Prime Time,AUD-012,Automática,Emitido OK,N/A,Baja,Registro correcto.
LOG-037,2026-07-20,21:39:44,América TV,TVA,Al Fondo Hay Sitio,Ficción,Inca Kola,Original,Arca Continental Lindley,Bebidas,30,30,30s,Comercial,6 de 10,Prime Time,AUD-010,Automática + Manual,Error de Versión,INC-EV,Media,Versión diferente a la contratada.
LOG-038,2026-07-20,21:56:20,ATV,TVA,Magaly TV La Firme,Espectáculos,MiBanco,Crédito Personal,Credicorp,Servicios Financieros,30,30,30s,Comercial,1 de 8,Prime Time,AUD-006,Automática,Emitido OK,N/A,Baja,Sin observaciones.
LOG-039,2026-07-20,22:18:43,Panamericana,TVA,Panorama,Periodístico,Saga Falabella,Electrohogar,Falabella Retail,Retail,30,30,30s,Comercial,5 de 7,Trasnoche,AUD-013,Automática,Emitido OK,N/A,Baja,Registro validado.
LOG-040,2026-07-20,22:42:16,TV Perú,TVP,TV Perú Noticias,Noticias,Ministerio de Salud,Prevención,Minsa,Institucional,20,20,20s,Institucional,2 de 3,Trasnoche,AUD-014,Manual,Caída de Señal,INC-CS,Crítica,Pérdida parcial de video.
LOG-041,2026-07-20,23:01:35,Latina,TVA,Latina Noticias,Noticias,Inkafarma,Vitaminas,InRetail Pharma,Farmacias,15,15,15s,Comercial,3 de 5,Trasnoche,AUD-005,Automática,Emitido OK,N/A,Baja,Emisión correcta.
LOG-042,2026-07-20,23:14:29,América TV,TVA,Cuarto Poder,Periodístico,Interbank,Cuenta Sueldo,Interbank,Servicios Financieros,30,30,30s,Comercial,2 de 6,Trasnoche,AUD-008,Automática,Emitido OK,N/A,Baja,Sin observaciones.
LOG-043,2026-07-20,23:28:51,ATV,TVA,ATV Noticias,Noticias,Claro,5G,Claro Perú,Telecomunicaciones,30,30,30s,Comercial,4 de 6,Trasnoche,AUD-001,Automática + Manual,Emitido OK,N/A,Baja,Registro correcto.
LOG-044,2026-07-20,23:36:18,Panamericana,TVA,24 Horas Central,Noticias,Gloria,Yogurt,Gloria S.A.,Alimentos,20,20,20s,Comercial,1 de 5,Trasnoche,AUD-011,Manual,Emitido OK,N/A,Baja,Sin incidencias.
LOG-045,2026-07-20,23:44:07,TV Perú,TVP,Documentales,Cultural,Pronabec,Becas,Pronabec,Institucional,20,20,20s,Institucional,1 de 2,Trasnoche,AUD-007,Manual,Emitido OK,N/A,Baja,Campaña educativa.
LOG-046,2026-07-20,23:49:53,Latina,TVA,Trasnoche Latina,Variedades,Tottus,Ofertas,Falabella Retail,Retail,30,30,30s,Comercial,2 de 4,Trasnoche,AUD-010,Automática,Emitido OK,N/A,Baja,Emisión conforme.
LOG-047,2026-07-20,23:53:22,América TV,TVA,Cine América,Película,Entel,Internet Hogar,Entel Perú,Telecomunicaciones,20,20,20s,Comercial,3 de 5,Trasnoche,AUD-012,Automática,Emitido OK,N/A,Baja,Registro correcto.
LOG-048,2026-07-20,23:57:41,ATV,TVA,Cine Millonario,Película,BCP,Yape,Banco de Crédito del Perú,Servicios Financieros,30,30,30s,Comercial,4 de 5,Trasnoche,AUD-003,Automática + Manual,Emitido OK,N/A,Baja,Sin observaciones.
LOG-049,2026-07-20,23:58:55,Panamericana,TVA,Panamericana Noche,Noticias,Caja Arequipa,Crédito,Caja Arequipa,Servicios Financieros,30,30,30s,Comercial,5 de 5,Trasnoche,AUD-009,Manual,Fuera de Franja,INC-FF,Media,Pauta contratada para Prime Time.
LOG-050,2026-07-20,23:59:40,TV Perú,TVP,Cierre de Transmisión,Institucional,Marca Perú,Promoción País,PromPerú,Institucional,20,20,20s,Institucional,1 de 1,Trasnoche,AUD-014,Manual,Emitido OK,N/A,Baja,Cierre de programación.